"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2020","3,621.28","3,641.53","3,641.58","3,621.28","6.68M","-1.14%"
"12/30/2020","3,663.06","3,664.97","3,680.96","3,660.64","11.76M","-0.22%"
"12/29/2020","3,671.11","3,671.93","3,683.36","3,662.21","14.11M","0.22%"
"12/28/2020","3,663.06","3,681.56","3,687.41","3,649.39","12.21M","0.11%"
"12/24/2020","3,659.16","3,659.29","3,674.00","3,657.68","7.39M","0.09%"
"12/23/2020","3,655.87","3,609.98","3,661.23","3,609.98","20.06M","1.33%"
"12/22/2020","3,607.72","3,587.47","3,611.79","3,580.30","20.50M","1.05%"
"12/21/2020","3,570.16","3,583.13","3,603.07","3,506.68","40.50M","-2.38%"
"12/18/2020","3,657.33","3,660.65","3,690.62","3,654.86","44.63M","-0.54%"
"12/17/2020","3,677.09","3,685.64","3,689.37","3,657.47","22.02M","0.36%"
"12/16/2020","3,663.95","3,707.89","3,708.62","3,651.20","31.33M","-1.02%"
"12/15/2020","3,701.71","3,675.43","3,708.20","3,673.14","24.64M","0.77%"
"12/14/2020","3,673.30","3,675.65","3,704.52","3,672.19","24.10M","0.65%"
"12/11/2020","3,649.74","3,668.02","3,680.60","3,611.22","26.29M","-0.83%"
"12/10/2020","3,680.11","3,694.61","3,703.39","3,657.37","29.49M","-0.40%"
"12/09/2020","3,694.92","3,694.52","3,715.57","3,689.26","19.59M","0.07%"
"12/08/2020","3,692.34","3,685.32","3,705.55","3,667.84","21.40M","-0.14%"
"12/07/2020","3,697.56","3,716.17","3,720.46","3,678.06","22.30M","-0.79%"
"12/04/2020","3,726.86","3,711.20","3,745.03","3,710.97","27.66M","0.32%"
"12/03/2020","3,714.79","3,707.15","3,724.31","3,686.00","25.36M","0.14%"
"12/02/2020","3,709.69","3,693.75","3,712.34","3,684.53","30.88M","-0.21%"
"12/01/2020","3,717.68","3,677.71","3,717.93","3,672.67","25.61M","1.38%"
"11/30/2020","3,667.16","3,691.48","3,712.24","3,667.16","39.81M","-1.40%"
"11/27/2020","3,719.36","3,677.24","3,729.60","3,676.66","24.64M","0.76%"
"11/26/2020","3,691.48","3,711.22","3,714.16","3,685.52","18.71M","-0.31%"
"11/25/2020","3,702.84","3,742.94","3,750.33","3,669.72","43.59M","-0.57%"
"11/24/2020","3,724.22","3,649.70","3,724.22","3,649.70","49.19M","3.05%"
"11/23/2020","3,614.14","3,616.89","3,634.77","3,608.01","27.97M","0.79%"
"11/20/2020","3,585.66","3,567.74","3,595.69","3,566.24","25.01M","0.36%"
"11/19/2020","3,572.69","3,576.99","3,589.51","3,561.19","31.13M","-1.17%"
"11/18/2020","3,614.96","3,580.59","3,615.41","3,572.43","29.59M","0.63%"
"11/17/2020","3,592.50","3,583.42","3,594.28","3,566.77","30.38M","0.29%"
"11/16/2020","3,582.29","3,558.99","3,617.29","3,550.00","43.33M","1.65%"
"11/13/2020","3,524.20","3,469.30","3,532.02","3,467.75","34.33M","0.53%"
"11/12/2020","3,505.52","3,483.60","3,517.55","3,477.64","44.61M","-0.33%"
"11/11/2020","3,517.21","3,518.10","3,534.56","3,482.98","37.88M","-0.25%"
"11/10/2020","3,525.86","3,397.13","3,525.86","3,397.13","70.59M","3.86%"
"11/09/2020","3,394.66","3,235.90","3,404.70","3,229.64","82.48M","6.37%"
"11/06/2020","3,191.33","3,197.57","3,230.49","3,183.22","31.40M","-0.55%"
"11/05/2020","3,209.01","3,221.61","3,227.49","3,168.15","58.24M","0.12%"
"11/04/2020","3,205.12","3,100.28","3,209.99","3,099.75","37.17M","1.62%"
"11/03/2020","3,154.13","3,100.94","3,156.59","3,096.05","35.36M","2.49%"
"11/02/2020","3,077.58","3,050.88","3,077.58","3,019.83","33.21M","1.12%"
"10/30/2020","3,043.36","3,013.85","3,054.17","3,004.33","32.28M","0.22%"
"10/29/2020","3,036.59","3,063.57","3,087.33","2,998.54","35.55M","-0.37%"
"10/28/2020","3,047.79","3,111.15","3,119.60","3,025.53","43.53M","-3.34%"
"10/27/2020","3,153.02","3,221.53","3,223.95","3,146.23","26.79M","-1.78%"
"10/26/2020","3,210.16","3,200.12","3,250.62","3,198.94","19.76M","-1.12%"
"10/23/2020","3,246.45","3,208.01","3,254.30","3,201.93","23.18M","1.38%"
"10/22/2020","3,202.19","3,176.38","3,202.19","3,152.44","20.50M","0.03%"
"10/21/2020","3,201.24","3,248.88","3,248.88","3,199.97","22.74M","-1.81%"
"10/20/2020","3,260.09","3,257.36","3,285.77","3,250.39","23.32M","-0.07%"
"10/19/2020","3,262.30","3,273.18","3,290.34","3,253.65","11.40M","-0.07%"
"10/16/2020","3,264.60","3,249.37","3,272.89","3,223.41","29.96M","0.70%"
"10/15/2020","3,242.06","3,276.19","3,276.40","3,225.11","25.45M","-2.23%"
"10/14/2020","3,316.16","3,321.08","3,337.43","3,306.77","20.55M","-0.13%"
"10/13/2020","3,320.47","3,370.34","3,377.82","3,314.70","27.16M","-1.92%"
"10/12/2020","3,385.36","3,385.21","3,405.08","3,376.15","18.47M","-0.06%"
"10/09/2020","3,387.35","3,375.29","3,397.79","3,370.75","22.46M","0.52%"
"10/08/2020","3,369.84","3,345.78","3,384.80","3,345.78","22.40M","1.33%"
"10/07/2020","3,325.72","3,338.96","3,357.24","3,323.18","21.79M","-0.47%"
"10/06/2020","3,341.32","3,296.93","3,350.67","3,296.32","27.94M","1.44%"
"10/05/2020","3,293.89","3,279.39","3,294.91","3,271.62","20.55M","1.41%"
"10/02/2020","3,248.23","3,199.74","3,248.23","3,189.95","22.63M","0.35%"
"10/01/2020","3,236.79","3,252.87","3,263.55","3,228.19","22.62M","0.04%"
"09/30/2020","3,235.44","3,221.89","3,263.86","3,214.54","26.38M","0.02%"
"09/29/2020","3,234.90","3,249.97","3,250.87","3,226.55","20.15M","-0.78%"
"09/28/2020","3,260.42","3,225.72","3,260.42","3,216.00","28.77M","3.06%"
"09/25/2020","3,163.67","3,186.81","3,195.58","3,134.90","27.80M","-0.28%"
"09/24/2020","3,172.60","3,180.88","3,207.20","3,156.64","33.50M","-1.34%"
"09/23/2020","3,215.63","3,252.21","3,266.11","3,215.63","31.12M","-0.16%"
"09/22/2020","3,220.88","3,259.43","3,260.26","3,220.88","33.06M","-0.42%"
"09/21/2020","3,234.31","3,337.88","3,339.22","3,230.90","56.48M","-4.19%"
"09/18/2020","3,375.86","3,399.17","3,399.78","3,374.71","59.13M","-0.42%"
"09/17/2020","3,390.18","3,359.82","3,402.51","3,350.88","25.65M","-0.08%"
"09/16/2020","3,392.90","3,362.74","3,392.90","3,355.12","24.22M","0.88%"
"09/15/2020","3,363.15","3,354.63","3,380.54","3,340.91","20.10M","0.28%"
"09/14/2020","3,353.62","3,369.36","3,374.34","3,339.83","18.96M","0.07%"
"09/11/2020","3,351.24","3,354.79","3,368.72","3,338.57","23.86M","-0.14%"
"09/10/2020","3,355.85","3,366.31","3,376.99","3,342.06","22.99M","-0.19%"
"09/09/2020","3,362.40","3,305.61","3,365.53","3,302.73","24.35M","1.79%"
"09/08/2020","3,303.23","3,370.13","3,374.89","3,283.93","27.06M","-1.67%"
"09/07/2020","3,359.38","3,327.22","3,366.96","3,327.22","16.01M","1.47%"
"09/04/2020","3,310.69","3,313.28","3,373.24","3,287.89","33.10M","-0.50%"
"09/03/2020","3,327.19","3,385.69","3,412.33","3,311.04","25.72M","-0.94%"
"09/02/2020","3,358.68","3,332.64","3,375.49","3,332.64","25.23M","1.34%"
"09/01/2020","3,314.23","3,353.19","3,365.87","3,297.40","23.28M","-0.55%"
"08/31/2020","3,332.53","3,398.08","3,410.91","3,330.93","25.81M","-1.36%"
"08/28/2020","3,378.60","3,381.30","3,390.24","3,348.21","24.08M","0.25%"
"08/27/2020","3,370.25","3,397.60","3,397.60","3,367.62","20.64M","-0.89%"
"08/26/2020","3,400.38","3,366.55","3,403.12","3,360.65","19.03M","0.92%"
"08/25/2020","3,369.52","3,387.18","3,411.54","3,367.35","29.41M","0.02%"
"08/24/2020","3,368.99","3,333.03","3,371.12","3,333.03","19.29M","2.00%"
"08/21/2020","3,302.92","3,351.20","3,355.85","3,288.15","23.83M","-1.04%"
"08/20/2020","3,337.62","3,339.37","3,359.35","3,326.20","17.79M","-1.13%"
"08/19/2020","3,375.60","3,388.86","3,403.59","3,331.42","18.03M","-0.52%"
"08/18/2020","3,393.24","3,412.34","3,442.29","3,388.92","18.53M","-0.96%"
"08/17/2020","3,426.17","3,430.70","3,440.72","3,406.47","13.77M","0.12%"
"08/14/2020","3,422.00","3,444.01","3,444.01","3,380.77","19.31M","-0.73%"
"08/13/2020","3,447.14","3,449.27","3,466.54","3,443.48","20.18M","-0.57%"
"08/12/2020","3,466.87","3,430.33","3,475.59","3,421.80","29.95M","0.97%"
"08/11/2020","3,433.60","3,386.55","3,436.72","3,386.55","33.70M","2.33%"
"08/10/2020","3,355.27","3,360.58","3,377.52","3,337.21","25.94M","0.45%"
"08/07/2020","3,340.10","3,308.16","3,343.30","3,281.18","28.08M","0.95%"
"08/06/2020","3,308.63","3,329.76","3,337.51","3,285.23","38.91M","-0.66%"
"08/05/2020","3,330.49","3,334.94","3,355.32","3,319.18","20.13M","0.29%"
"08/04/2020","3,320.71","3,342.76","3,358.65","3,307.64","23.96M","-0.07%"
"08/03/2020","3,322.99","3,271.29","3,323.49","3,249.24","24.11M","1.52%"
"07/31/2020","3,273.37","3,335.59","3,350.29","3,273.37","28.73M","-2.01%"
"07/30/2020","3,340.48","3,442.25","3,456.10","3,308.48","38.71M","-1.91%"
"07/29/2020","3,405.62","3,435.78","3,451.74","3,400.96","24.23M","-0.90%"
"07/28/2020","3,436.70","3,412.33","3,439.15","3,399.69","23.92M","0.86%"
"07/27/2020","3,407.46","3,419.50","3,425.11","3,398.17","20.36M","-0.81%"
"07/24/2020","3,435.43","3,455.05","3,455.27","3,415.89","19.00M","-1.62%"
"07/23/2020","3,492.06","3,509.02","3,516.53","3,484.25","21.30M","-0.27%"
"07/22/2020","3,501.65","3,535.53","3,551.08","3,492.77","25.72M","-1.45%"
"07/21/2020","3,553.27","3,550.36","3,593.99","3,542.21","38.47M","0.75%"
"07/20/2020","3,526.91","3,470.11","3,529.25","3,442.88","23.24M","1.02%"
"07/17/2020","3,491.16","3,489.76","3,499.40","3,471.50","27.60M","-0.23%"
"07/16/2020","3,499.30","3,472.99","3,506.56","3,465.60","25.67M","-0.04%"
"07/15/2020","3,500.87","3,482.36","3,533.37","3,460.09","36.15M","1.25%"
"07/14/2020","3,457.77","3,433.26","3,457.77","3,411.59","26.81M","-0.59%"
"07/13/2020","3,478.27","3,473.40","3,479.92","3,449.98","23.80M","1.05%"
"07/10/2020","3,442.06","3,377.78","3,442.06","3,374.59","29.26M","1.43%"
"07/09/2020","3,393.61","3,433.89","3,443.10","3,389.10","32.12M","-0.74%"
"07/08/2020","3,418.91","3,441.91","3,452.80","3,414.14","33.84M","-1.27%"
"07/07/2020","3,462.83","3,458.79","3,468.22","3,441.46","26.57M","-0.30%"
"07/06/2020","3,473.18","3,444.43","3,473.92","3,433.23","33.26M","2.36%"
"07/03/2020","3,393.25","3,406.23","3,411.70","3,374.67","21.79M","-0.27%"
"07/02/2020","3,402.46","3,363.60","3,421.75","3,357.61","38.43M","2.11%"
"07/01/2020","3,331.99","3,334.87","3,364.09","3,300.07","30.85M","0.12%"
"06/30/2020","3,328.01","3,332.90","3,343.46","3,298.91","32.46M","0.05%"
