"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2020","8,073.70","8,116.90","8,129.80","8,073.70","82.26M","-0.99%"
"12/30/2020","8,154.40","8,174.20","8,194.20","8,149.80","129.93M","-0.25%"
"12/29/2020","8,174.80","8,203.20","8,225.80","8,167.00","143.79M","0.24%"
"12/28/2020","8,155.60","8,179.30","8,192.10","8,122.20","147.46M","0.54%"
"12/24/2020","8,111.50","8,101.20","8,112.40","8,073.30","83.71M","0.47%"
"12/23/2020","8,073.60","7,948.80","8,084.20","7,940.00","183.11M","1.76%"
"12/22/2020","7,934.20","7,822.00","7,942.40","7,818.00","187.11M","1.85%"
"12/21/2020","7,789.80","7,860.90","7,872.30","7,663.50","339.12M","-3.08%"
"12/18/2020","8,037.40","8,114.30","8,159.40","8,036.70","355.17M","-1.42%"
"12/17/2020","8,153.40","8,164.60","8,180.80","8,110.50","193.10M","0.17%"
"12/16/2020","8,139.50","8,166.40","8,209.70","8,104.40","218.43M","-0.16%"
"12/15/2020","8,152.40","8,153.20","8,166.60","8,099.70","213.88M","0.14%"
"12/14/2020","8,140.80","8,160.20","8,222.50","8,140.50","225.31M","0.96%"
"12/11/2020","8,063.10","8,147.80","8,151.40","7,978.10","269.81M","-1.46%"
"12/10/2020","8,182.30","8,260.30","8,284.30","8,124.90","272.11M","-0.64%"
"12/09/2020","8,235.30","8,262.20","8,292.60","8,223.10","212.04M","0.09%"
"12/08/2020","8,227.60","8,262.40","8,273.60","8,206.30","202.82M","-0.58%"
"12/07/2020","8,275.60","8,283.30","8,296.40","8,225.50","228.16M","-0.57%"
"12/04/2020","8,322.90","8,201.20","8,322.90","8,197.00","352.97M","1.49%"
"12/03/2020","8,200.70","8,208.10","8,223.40","8,154.80","233.47M","-0.24%"
"12/02/2020","8,220.80","8,111.10","8,226.20","8,104.20","310.84M","0.98%"
"12/01/2020","8,140.80","8,112.70","8,176.40","8,100.20","284.95M","0.79%"
"11/30/2020","8,076.90","8,130.60","8,165.20","8,075.40","544.91M","-1.39%"
