"Date","Price","Open","High","Low","Vol.","Change %"
"12/03/2024","2,067.71","2,059.51","2,075.69","2,059.51","0.00K","0.86%"
"12/02/2024","2,050.17","2,037.53","2,061.80","2,035.54","0.00K","-0.18%"
"11/29/2024","2,053.91","2,041.68","2,058.33","2,035.77","0.00K","0.67%"
"11/28/2024","2,040.20","2,037.10","2,043.10","2,033.29","0.00K","0.28%"
"11/27/2024","2,034.51","2,021.25","2,036.86","2,014.85","0.00K","0.64%"
"11/26/2024","2,021.64","2,023.37","2,040.26","2,017.01","0.00K","-0.61%"
"11/25/2024","2,034.02","2,036.84","2,043.52","2,028.31","0.00K","0.78%"
"11/22/2024","2,018.31","2,020.90","2,025.03","1,993.91","0.00K","0.22%"
"11/21/2024","2,013.98","2,009.24","2,015.23","1,995.18","0.00K","0.32%"
"11/20/2024","2,007.54","2,026.83","2,031.49","2,005.16","0.00K","-0.63%"
"11/19/2024","2,020.20","2,032.16","2,036.20","1,998.04","0.00K","-0.29%"
"11/18/2024","2,026.14","2,021.80","2,032.87","2,010.44","0.00K","0.33%"
"11/15/2024","2,019.40","2,028.51","2,038.42","2,016.11","","-1.16%"
"11/14/2024","2,043.09","2,022.34","2,044.34","2,017.45","","0.93%"
"11/13/2024","2,024.18","2,025.95","2,036.99","2,006.96","","-0.28%"
"11/12/2024","2,029.88","2,061.56","2,061.57","2,026.21","","-2.33%"
"11/11/2024","2,078.38","2,077.41","2,087.55","2,077.38","","0.18%"
"11/08/2024","2,074.59","2,099.03","2,099.03","2,064.47","","-1.23%"
"11/07/2024","2,100.37","2,080.93","2,109.26","2,080.25","","1.24%"
"11/06/2024","2,074.55","2,095.79","2,132.18","2,065.47","","-2.06%"
"11/05/2024","2,118.28","2,113.98","2,124.11","2,109.30","","0.09%"
"11/04/2024","2,116.35","2,120.24","2,131.96","2,111.68","","0.11%"
"11/01/2024","2,114.05","2,096.68","2,121.26","2,096.68","","1.03%"
"10/31/2024","2,092.60","2,106.88","2,106.88","2,083.62","","-1.24%"
"10/30/2024","2,118.89","2,130.50","2,132.49","2,104.87","","-0.69%"
"10/29/2024","2,133.69","2,154.15","2,158.51","2,132.18","","-0.76%"
"10/28/2024","2,150.08","2,143.97","2,153.61","2,135.98","","0.27%"
"10/25/2024","2,144.30","2,139.48","2,148.97","2,135.80","","0.29%"
"10/24/2024","2,138.17","2,137.53","2,153.31","2,137.53","","0.25%"
"10/23/2024","2,132.90","2,139.38","2,146.43","2,130.41","","-0.62%"
"10/22/2024","2,146.23","2,154.32","2,156.32","2,136.81","","-0.45%"
"10/21/2024","2,155.87","2,171.08","2,177.71","2,151.82","","-0.85%"
"10/18/2024","2,174.34","2,165.33","2,176.24","2,164.08","","0.49%"
"10/17/2024","2,163.76","2,151.17","2,170.60","2,151.17","","0.37%"
"10/16/2024","2,155.68","2,151.73","2,161.30","2,149.87","","-0.41%"
"10/15/2024","2,164.57","2,184.71","2,188.18","2,159.81","","-0.99%"
"10/14/2024","2,186.16","2,178.34","2,187.69","2,173.20","","0.29%"
"10/11/2024","2,179.91","2,166.87","2,181.61","2,161.13","","0.74%"
"10/10/2024","2,163.87","2,171.44","2,174.46","2,160.36","","-0.39%"
"10/09/2024","2,172.41","2,161.25","2,174.06","2,158.21","","0.44%"
"10/08/2024","2,162.80","2,170.28","2,170.28","2,153.98","","-0.60%"
"10/07/2024","2,175.80","2,173.15","2,179.58","2,160.98","","0.28%"
"10/04/2024","2,169.71","2,173.14","2,180.35","2,165.78","","-0.05%"
"10/03/2024","2,170.69","2,189.55","2,189.55","2,166.29","","-1.07%"
"10/02/2024","2,194.16","2,202.21","2,210.69","2,186.69","","-0.30%"
"10/01/2024","2,200.70","2,222.41","2,225.28","2,193.22","","-1.12%"
"09/30/2024","2,225.64","2,244.48","2,247.00","2,216.44","","-1.11%"
"09/27/2024","2,250.56","2,234.38","2,254.69","2,231.96","","0.59%"
"09/26/2024","2,237.38","2,218.66","2,243.30","2,218.66","","1.18%"
"09/25/2024","2,211.34","2,212.18","2,221.86","2,202.42","","0.08%"
"09/24/2024","2,209.53","2,196.53","2,214.79","2,196.53","","0.86%"
"09/23/2024","2,190.60","2,188.35","2,191.40","2,174.06","","0.33%"
"09/20/2024","2,183.50","2,219.23","2,219.23","2,181.64","","-1.30%"
"09/19/2024","2,212.22","2,187.56","2,222.25","2,187.56","","1.47%"
"09/18/2024","2,180.14","2,191.29","2,194.62","2,175.50","","-0.59%"
"09/17/2024","2,192.97","2,188.11","2,205.19","2,188.11","","0.37%"
"09/16/2024","2,184.98","2,181.35","2,191.15","2,178.64","","0.15%"
"09/13/2024","2,181.78","2,167.15","2,186.75","2,167.15","","1.18%"
"09/12/2024","2,156.32","2,145.29","2,162.80","2,145.29","","1.06%"
"09/11/2024","2,133.73","2,141.65","2,151.97","2,123.63","","0.00%"
"09/10/2024","2,133.83","2,151.43","2,156.41","2,130.56","","-0.80%"
"09/09/2024","2,151.10","2,141.36","2,155.78","2,141.36","","0.11%"
"09/06/2024","2,148.67","2,168.24","2,178.24","2,139.00","","-0.69%"
"09/05/2024","2,163.52","2,176.11","2,180.01","2,163.52","","-0.69%"
"09/04/2024","2,178.49","2,184.33","2,184.33","2,165.84","","-0.57%"
"09/03/2024","2,191.03","2,215.81","2,219.28","2,188.60","","-1.20%"
"09/02/2024","2,217.68","2,216.98","2,217.93","2,203.05","","-0.04%"
"08/30/2024","2,218.54","2,220.24","2,229.42","2,212.94","","0.06%"
"08/29/2024","2,217.18","2,212.48","2,222.04","2,209.09","","0.25%"
"08/28/2024","2,211.63","2,212.81","2,215.77","2,206.43","","0.01%"
"08/27/2024","2,211.40","2,210.66","2,216.64","2,205.24","","0.11%"
"08/26/2024","2,209.01","2,209.58","2,211.99","2,205.37","","-0.05%"
"08/23/2024","2,210.05","2,193.10","2,214.50","2,189.00","","1.00%"
"08/22/2024","2,188.10","2,189.03","2,199.14","2,185.10","","0.25%"
"08/21/2024","2,182.58","2,175.95","2,191.98","2,174.93","","0.45%"
"08/20/2024","2,172.81","2,179.03","2,182.30","2,170.58","","-0.02%"
"08/19/2024","2,173.19","2,154.07","2,177.12","2,153.80","","1.30%"
"08/16/2024","2,145.38","2,142.89","2,152.42","2,138.66","","0.34%"
"08/15/2024","2,138.06","2,125.72","2,139.77","2,119.93","","0.70%"
"08/14/2024","2,123.24","2,113.85","2,123.24","2,111.24","","1.21%"
"08/13/2024","2,097.78","2,089.38","2,105.39","2,074.40","","0.76%"
"08/12/2024","2,082.01","2,084.93","2,090.85","2,077.13","","0.02%"
"08/09/2024","2,081.61","2,077.09","2,088.93","2,069.58","","0.70%"
"08/08/2024","2,067.23","2,060.93","2,069.89","2,045.36","","-0.13%"
"08/07/2024","2,069.83","2,046.53","2,075.37","2,041.10","","1.50%"
"08/06/2024","2,039.17","2,044.14","2,053.59","2,018.06","0.00K","-0.11%"
"08/05/2024","2,041.46","2,035.94","2,044.18","2,009.58","0.00K","-1.63%"
"08/02/2024","2,075.28","2,095.29","2,095.29","2,070.06","","-1.54%"
"08/01/2024","2,107.68","2,136.74","2,137.72","2,103.92","","-1.47%"
"07/31/2024","2,139.10","2,123.21","2,147.45","2,121.55","","0.98%"
"07/30/2024","2,118.36","2,118.66","2,126.41","2,114.47","","0.31%"
"07/29/2024","2,111.84","2,132.09","2,134.58","2,108.46","","-0.57%"
