"Date","Price","Open","High","Low","Vol.","Change %"
"12/03/2024","515.54","513.60","517.28","513.60","","0.38%"
"12/02/2024","513.61","509.69","514.44","508.63","185.14M","0.66%"
"11/29/2024","510.25","506.91","510.43","506.08","161.50M","0.58%"
"11/28/2024","507.30","506.32","508.93","506.08","121.56M","0.46%"
"11/27/2024","504.96","505.66","505.66","502.86","160.40M","-0.19%"
"11/26/2024","505.90","507.61","508.53","504.72","177.67M","-0.57%"
"11/25/2024","508.78","509.64","511.28","507.69","418.72M","0.06%"
"11/22/2024","508.47","503.96","509.20","502.36","189.50M","1.18%"
"11/21/2024","502.54","500.33","502.90","497.33","183.44M","0.41%"
"11/20/2024","500.49","501.94","504.04","499.56","166.32M","-0.02%"
"11/19/2024","500.60","503.77","505.00","495.55","188.18M","-0.45%"
"11/18/2024","502.84","502.70","503.78","500.01","172.34M","-0.06%"
"11/15/2024","503.12","505.38","505.94","502.52","185.50M","-0.77%"
"11/14/2024","507.03","502.67","507.62","502.09","218.12M","1.08%"
"11/13/2024","501.59","501.88","503.22","498.58","202.52M","-0.13%"
"11/12/2024","502.23","510.17","510.17","501.89","217.98M","-1.98%"
"11/11/2024","512.37","508.95","513.85","508.95","154.35M","1.13%"
"11/08/2024","506.63","510.51","511.07","505.41","194.70M","-0.65%"
"11/07/2024","509.92","507.24","511.94","507.24","222.58M","0.62%"
"11/06/2024","506.78","511.26","519.26","505.92","263.03M","-0.54%"
"11/05/2024","509.53","509.04","510.77","507.54","170.15M","0.06%"
"11/04/2024","509.21","510.44","512.40","509.21","181.38M","-0.33%"
"11/01/2024","510.90","505.44","512.17","505.44","172.89M","1.09%"
"10/31/2024","505.39","509.97","509.97","503.49","245.74M","-1.20%"
"10/30/2024","511.51","516.55","516.55","510.43","209.41M","-1.25%"
"10/29/2024","517.99","521.63","522.93","517.92","201.49M","-0.57%"
"10/28/2024","520.95","519.79","521.79","517.44","187.82M","0.41%"
"10/25/2024","518.81","518.55","519.77","517.14","183.23M","-0.03%"
"10/24/2024","518.98","519.10","522.51","518.98","200.46M","0.03%"
"10/23/2024","518.84","519.67","521.76","518.19","177.09M","-0.30%"
"10/22/2024","520.40","521.70","521.70","517.22","148.73M","-0.21%"
"10/21/2024","521.52","524.38","526.12","521.36","143.76M","-0.66%"
"10/18/2024","524.99","523.68","525.58","523.22","189.93M","0.21%"
"10/17/2024","523.91","519.86","525.68","519.85","194.86M","0.83%"
"10/16/2024","519.60","518.95","520.77","518.13","203.05M","-0.19%"
"10/15/2024","520.57","525.35","526.57","520.57","200.76M","-0.80%"
"10/14/2024","524.76","522.35","524.76","521.31","153.49M","0.53%"
"10/11/2024","521.98","518.90","522.49","518.02","170.64M","0.55%"
"10/10/2024","519.11","520.22","521.08","517.81","161.64M","-0.18%"
"10/09/2024","520.05","516.77","520.11","516.37","137.34M","0.66%"
"10/08/2024","516.64","518.13","518.13","514.10","161.00M","-0.55%"
"10/07/2024","519.48","519.12","520.34","516.61","157.69M","0.18%"
"10/04/2024","518.56","516.63","519.54","515.76","180.24M","0.44%"
"10/03/2024","516.29","519.94","519.99","515.26","209.24M","-0.93%"
"10/02/2024","521.14","521.62","523.00","518.66","177.82M","0.05%"
"10/01/2024","520.88","523.28","525.55","519.34","214.24M","-0.38%"
"09/30/2024","522.89","527.11","527.75","522.35","201.12M","-0.98%"
"09/27/2024","528.08","525.50","528.68","525.50","187.21M","0.47%"
"09/26/2024","525.61","521.43","526.52","521.43","209.04M","1.25%"
"09/25/2024","519.14","518.56","520.33","517.26","145.21M","-0.11%"
"09/24/2024","519.70","518.22","521.04","517.82","189.89M","0.65%"
"09/23/2024","516.32","514.49","516.73","513.28","154.31M","0.40%"
"09/20/2024","514.26","520.76","520.76","513.87","390.90M","-1.42%"
"09/19/2024","521.67","516.98","522.31","516.98","219.86M","1.38%"
"09/18/2024","514.59","517.11","517.11","514.25","189.46M","-0.50%"
"09/17/2024","517.19","516.07","519.29","516.07","191.47M","0.40%"
"09/16/2024","515.11","514.71","516.51","513.99","141.46M","-0.16%"
"09/13/2024","515.95","512.87","517.07","512.87","155.15M","0.76%"
"09/12/2024","512.08","510.70","514.53","509.63","239.93M","0.80%"
"09/11/2024","508.02","508.28","511.54","506.00","179.28M","0.01%"
"09/10/2024","507.95","510.69","512.28","507.10","173.87M","-0.54%"
"09/09/2024","510.70","507.39","511.91","507.39","139.52M","0.82%"
"09/06/2024","506.56","511.22","514.09","506.11","174.34M","-1.07%"
"09/05/2024","512.05","514.13","515.38","512.05","163.45M","-0.54%"
"09/04/2024","514.82","516.88","516.88","513.27","162.18M","-0.97%"
"09/03/2024","519.84","525.00","525.60","519.18","201.78M","-0.97%"
"09/02/2024","524.94","524.83","525.04","521.88","117.19M","-0.02%"
"08/30/2024","525.05","524.53","526.66","524.53","244.29M","0.09%"
"08/29/2024","524.57","520.79","524.75","520.79","148.18M","0.76%"
"08/28/2024","520.60","519.49","521.79","519.49","133.90M","0.33%"
"08/27/2024","518.88","518.31","519.92","517.73","162.52M","0.16%"
"08/26/2024","518.05","518.22","518.95","517.57","66.33M","-0.02%"
"08/23/2024","518.13","516.12","518.73","515.86","129.48M","0.46%"
"08/22/2024","515.74","514.24","517.28","514.24","147.80M","0.35%"
"08/21/2024","513.95","512.44","514.65","512.32","149.47M","0.33%"
"08/20/2024","512.27","514.73","515.78","512.18","126.73M","-0.45%"
"08/19/2024","514.59","511.42","515.46","510.98","155.31M","0.61%"
"08/16/2024","511.45","510.55","512.56","509.95","143.23M","0.31%"
"08/15/2024","509.88","504.85","510.50","504.36","164.68M","1.15%"
"08/14/2024","504.10","502.06","504.18","502.06","135.99M","0.49%"
"08/13/2024","501.66","499.82","501.73","497.57","130.96M","0.52%"
"08/12/2024","499.08","499.80","501.54","498.19","228.38M","-0.02%"
"08/09/2024","499.19","497.46","501.29","496.38","157.50M","0.57%"
"08/08/2024","496.37","495.13","496.88","490.02","164.38M","0.08%"
"08/07/2024","495.96","490.15","497.25","489.75","196.91M","1.54%"
